player_name,player_id,pa,batting_avg,hit,home_run,strikeout,walk,slg_percent,on_base_percent,on_base_plus_slg,woba,hard_hit_percent,k_percent,bb_percent,team,rbi
Luis Arraez,650333,675,0.292,181,8,21,34,0.392,0.327,0.719,0.313,16.7,3.1,5.0,San Diego Padres,61
Teoscar Hernández,606192,546,0.247,126,25,134,26,0.454,0.284,0.738,0.315,46.1,24.5,4.8,Los Angeles Dodgers,89
Alec Bohm,664761,504,0.287,133,11,82,29,0.409,0.331,0.74,0.322,46.4,16.3,5.8,Philadelphia Phillies,59
William Contreras,661388,659,0.26,147,17,120,84,0.399,0.355,0.754,0.332,48.5,18.2,12.7,Milwaukee Brewers,76
Bryce Harper,547180,580,0.261,131,27,121,70,0.487,0.357,0.844,0.361,47.5,20.9,12.1,Philadelphia Phillies,75
Josh Naylor,647304,604,0.295,160,20,83,48,0.462,0.353,0.815,0.351,41.9,13.7,7.9,,92
Andy Pages,681624,624,0.272,158,27,135,29,0.461,0.313,0.774,0.332,37.2,21.6,4.6,Los Angeles Dodgers,86
Alec Burleson,676475,546,0.29,144,18,79,39,0.459,0.343,0.802,0.346,43.0,14.5,7.1,St. Louis Cardinals,69
Marcell Ozuna,542303,592,0.232,113,21,144,94,0.4,0.355,0.755,0.334,44.6,24.3,15.9,Atlanta Braves,68
Jo Adell,666176,573,0.236,124,37,151,33,0.485,0.293,0.778,0.333,50.0,26.4,5.8,Los Angeles Angels,98
Jordan Beck,687597,588,0.258,139,16,174,43,0.416,0.317,0.733,0.319,38.5,29.6,7.3,Colorado Rockies,53
Otto Lopez,672640,594,0.246,134,15,82,44,0.368,0.305,0.673,0.295,38.3,13.8,7.4,Miami Marlins,77
Marcus Semien,543760,534,0.23,108,15,93,50,0.364,0.305,0.669,0.295,35.0,17.4,9.4,Texas Rangers,62
Joey Ortiz,687401,506,0.23,108,7,74,27,0.317,0.276,0.593,0.263,32.8,14.6,5.3,Milwaukee Brewers,45
Corbin Carroll,682998,642,0.259,146,31,153,67,0.541,0.343,0.884,0.371,49.9,23.8,10.4,Arizona Diamondbacks,84
Bryson Stott,681082,560,0.257,128,13,91,54,0.391,0.328,0.719,0.315,29.5,16.3,9.6,Philadelphia Phillies,66
Vladimir Guerrero Jr.,665489,680,0.292,172,23,94,81,0.467,0.381,0.848,0.366,50.7,13.8,11.9,Toronto Blue Jays,84
Jonathan India,663697,567,0.233,116,9,106,54,0.346,0.323,0.669,0.301,36.8,18.7,9.5,Kansas City Royals,45
Brooks Lee,686797,527,0.236,115,16,92,31,0.37,0.285,0.655,0.286,38.5,17.5,5.9,Minnesota Twins,64
Trevor Story,596115,654,0.263,161,25,176,33,0.433,0.308,0.741,0.32,47.0,26.9,5.0,Boston Red Sox,96
Luis Rengifo,650859,541,0.238,119,9,104,33,0.335,0.287,0.622,0.275,32.7,19.2,6.1,Los Angeles Angels,43
Freddie Freeman,518692,627,0.295,164,24,128,60,0.502,0.367,0.869,0.37,45.7,20.4,9.6,Los Angeles Dodgers,90
Caleb Durbin,702332,506,0.256,114,11,50,30,0.387,0.334,0.721,0.319,26.9,9.9,5.9,Milwaukee Brewers,53
Tyler Soderstrom,691016,624,0.276,155,25,141,55,0.474,0.346,0.82,0.354,49.8,22.6,8.8,Athletics,93
Masyn Winn,691026,537,0.253,124,9,102,34,0.363,0.31,0.673,0.297,34.6,19.0,6.3,St. Louis Cardinals,51
Nick Castellanos,592206,589,0.25,137,17,133,32,0.4,0.294,0.694,0.3,34.5,22.6,5.4,Philadelphia Phillies,72
Adolis García,666969,547,0.227,115,19,135,28,0.394,0.271,0.665,0.286,46.7,24.7,5.1,Texas Rangers,75
Ryan O'Hearn,656811,544,0.281,133,17,109,58,0.437,0.366,0.803,0.349,42.5,20.0,10.7,,63
Josh Bell,605137,533,0.237,111,22,88,57,0.417,0.325,0.742,0.324,47.0,16.5,10.7,Washington Nationals,63
Jung Hoo Lee,808982,617,0.266,149,8,71,47,0.407,0.327,0.734,0.32,32.0,11.5,7.6,San Francisco Giants,55
Byron Buxton,621439,542,0.264,129,35,148,41,0.551,0.327,0.878,0.367,53.8,27.3,7.6,Minnesota Twins,83
Xander Bogaerts,593428,552,0.263,129,11,94,48,0.391,0.328,0.719,0.313,39.2,17.0,8.7,San Diego Padres,53
Ke'Bryan Hayes,663647,570,0.235,124,5,111,36,0.306,0.29,0.596,0.266,42.5,19.5,6.3,,49
Gavin Sheets,657757,545,0.252,124,19,107,44,0.429,0.317,0.746,0.323,46.5,19.6,8.1,San Diego Padres,71
Wyatt Langford,694671,573,0.241,118,22,151,74,0.431,0.344,0.775,0.337,48.4,26.4,12.9,Texas Rangers,62
Brent Rooker,667670,699,0.262,164,30,155,65,0.479,0.335,0.814,0.349,44.8,22.2,9.3,Athletics,89
Ernie Clement,676391,588,0.277,151,9,61,27,0.398,0.313,0.711,0.308,26.0,10.4,4.6,Toronto Blue Jays,50
Ryan McMahon,641857,586,0.214,109,20,189,70,0.381,0.312,0.693,0.306,50.5,32.3,11.9,,53
Heliot Ramos,671218,695,0.256,159,21,158,52,0.4,0.328,0.728,0.319,47.4,22.7,7.5,San Francisco Giants,69
Brendan Donovan,680977,515,0.287,132,10,67,42,0.422,0.353,0.775,0.337,40.9,13.0,8.2,St. Louis Cardinals,50
Matt McLain,680574,577,0.22,112,15,167,55,0.343,0.3,0.643,0.286,40.7,28.9,9.5,Cincinnati Reds,50
Eric Wagaman,676572,514,0.25,119,9,100,32,0.378,0.296,0.674,0.293,46.5,19.5,6.2,Miami Marlins,53
Ian Happ,664023,663,0.243,138,23,151,87,0.42,0.342,0.762,0.333,44.4,22.8,13.1,Chicago Cubs,79
Elly De La Cruz,682829,699,0.264,166,22,181,67,0.44,0.336,0.776,0.333,44.2,25.9,9.6,Cincinnati Reds,86
George Springer,543807,586,0.309,154,32,111,69,0.56,0.399,0.959,0.408,47.6,18.9,11.8,Toronto Blue Jays,84
Nico Hoerner,663538,649,0.297,178,7,49,39,0.394,0.345,0.739,0.324,30.3,7.6,6.0,Chicago Cubs,61
Miguel Vargas,678246,569,0.234,118,16,100,56,0.401,0.316,0.717,0.314,40.5,17.6,9.8,Chicago White Sox,60
Jeremy Peña,665161,543,0.304,150,17,93,35,0.477,0.363,0.84,0.363,42.9,17.1,6.4,Houston Astros,62
Willson Contreras,575929,563,0.257,126,20,142,44,0.447,0.344,0.791,0.344,49.0,25.2,7.8,St. Louis Cardinals,80
Ceddanne Rafaela,678882,587,0.249,136,16,117,28,0.414,0.295,0.709,0.307,38.7,19.9,4.8,Boston Red Sox,63
Paul Goldschmidt,502671,534,0.274,134,10,100,36,0.403,0.328,0.731,0.316,43.7,18.7,6.7,New York Yankees,45
Riley Greene,682985,655,0.258,155,36,201,46,0.493,0.313,0.806,0.343,45.5,30.7,7.0,Detroit Tigers,111
