player_id,player_name,plateAppearances,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
666969,Adolis García,19,6,2,5,3,3,0.4,0.526,0.8,1.326
806994,Luis Guanipa,5,2,0,3,0,1,0.4,0.4,0.4,0.8
691781,Brady House,16,6,0,1,1,2,0.4,0.438,0.467,0.905
656582,Connor Joe,17,6,0,1,1,4,0.4,0.471,0.467,0.938
686797,Brooks Lee,22,8,1,2,1,3,0.4,0.455,0.55,1.005
677595,Ronny Mauricio,5,2,0,2,0,1,0.4,0.4,0.6,1.0
805367,Chase Meidroth,22,8,1,7,2,3,0.4,0.455,0.75,1.205
801887,Kole Myers,5,2,0,0,0,1,0.4,0.4,0.4,0.8
681393,Connor Norby,11,4,1,1,1,3,0.4,0.455,0.8,1.255
690841,Matt O'Neill,5,2,0,2,0,2,0.4,0.4,0.8,1.2
666931,Jared Oliva,13,4,1,5,1,1,0.4,0.5,0.9,1.4
596103,Austin Slater,6,2,0,0,1,3,0.4,0.5,0.6,1.1
669065,Kyle Stowers,5,2,0,0,0,0,0.4,0.4,0.6,1.0
660821,Jesús Sánchez,17,6,1,4,2,4,0.4,0.471,0.667,1.138
642180,Tyler Wade,11,4,0,0,1,2,0.4,0.455,0.4,0.855
573262,Mike Yastrzemski,11,4,2,2,1,4,0.4,0.455,1.2,1.655
624424,Michael Conforto,18,7,0,4,0,2,0.389,0.389,0.722,1.111
606192,Teoscar Hernández,20,7,3,10,2,6,0.389,0.45,0.944,1.394
666397,Edouard Julien,23,7,1,5,5,7,0.389,0.522,0.778,1.3
807712,Luke Keaschall,19,7,2,6,0,0,0.389,0.421,0.778,1.199
663604,Brandon Lockridge,18,7,1,8,0,4,0.389,0.389,0.611,1.0
670042,Luke Raley,22,7,2,7,2,5,0.389,0.5,0.833,1.333
686527,Dominic Canzone,13,5,1,5,0,1,0.385,0.385,0.769,1.154
543309,Kyle Higashioka,14,5,0,2,1,4,0.385,0.429,0.692,1.121
622761,Jorge Mateo,17,5,0,3,2,2,0.385,0.438,0.538,0.976
682868,Bryan Ramos,14,5,1,1,1,4,0.385,0.429,0.692,1.121
680718,Addison Barger,17,6,1,3,1,4,0.375,0.412,0.625,1.037
672012,Tyler Black,10,3,0,6,0,1,0.375,0.3,0.625,0.925
646240,Rafael Devers,8,3,0,1,0,2,0.375,0.375,0.5,0.875
592450,Aaron Judge,9,3,1,1,1,5,0.375,0.444,0.75,1.194
666139,Josh Lowe,17,6,1,9,1,6,0.375,0.412,0.688,1.1
808234,Eduardo Quintero,9,3,0,1,1,3,0.375,0.444,0.375,0.819
699393,Pedro Ramírez,9,3,0,2,1,0,0.375,0.444,0.5,0.944
694025,Felix Reyes,8,3,1,3,0,2,0.375,0.375,0.75,1.125
690022,Ryan Ritter,18,6,2,2,2,4,0.375,0.444,0.813,1.257
683679,Jesus Rodriguez,9,3,1,2,1,0,0.375,0.444,0.75,1.194
642708,Amed Rosario,17,6,0,3,1,2,0.375,0.412,0.438,0.85
669261,Jack Suwinski,11,3,3,5,3,3,0.375,0.545,1.5,2.045
