player_id,player_name,inningsPitched,strikeOuts,baseOnBalls,era,whip
686588,Blane Abeyta,1.1,1,0,0.0,0.75
670183,Garrett Acton,1.1,2,1,0.0,0.75
592094,Jason Adam,2.0,2,0,0.0,0.0
822416,Cooper Adams,1.2,1,0,0.0,0.0
686654,Ty Adcock,1.0,1,0,0.0,1.0
669211,Keegan Akin,0.2,1,0,0.0,0.0
665660,Elvis Alvarado,1.0,0,1,0.0,3.0
814783,Casey Anderson,1.0,1,1,0.0,2.0
681252,Jack Anderson,1.0,0,0,0.0,2.0
676879,Aaron Ashby,3.2,5,4,0.0,1.09
677952,Braxton Ashcraft,5.1,8,0,0.0,0.94
675502,Kelly Austin,0.1,0,0,0.0,0.0
658648,Pedro Avila,1.0,1,0,0.0,1.0
696508,Alec Baker,1.1,1,0,0.0,0.75
694536,Trent Baker,3.2,2,0,0.0,0.27
607455,Anthony Banda,3.1,4,3,0.0,0.9
688781,Brett Banks,0.2,0,0,0.0,1.5
682995,Hunter Barco,4.1,6,2,0.0,1.15
685290,Diego Barrera,1.0,1,0,0.0,0.0
605135,Chris Bassitt,7.1,5,2,0.0,0.68
694677,Collin Baumgartner,0.1,0,1,0.0,3.0
691945,Carter Baumler,3.2,6,1,0.0,0.27
663681,Jarod Bayless,1.0,1,0,0.0,1.0
669358,Shane Baz,5.0,5,0,0.0,0.6
660825,Eduard Bazardo,1.0,0,0,0.0,1.0
695063,Noah Beal,1.1,2,1,0.0,0.75
663941,Tristan Beck,2.2,1,0,0.0,0.75
699552,Brandon Beckel,0.1,0,0,0.0,3.0
670280,David Bednar,1.2,2,0,0.0,0.0
595881,Tyler Beede,0.2,1,0,0.0,1.5
690925,Clayton Beeter,3.2,7,1,0.0,0.82
810897,Charlie Beilenson,1.0,1,0,0.0,2.0
678394,Brayan Bello,11.0,14,0,0.0,0.64
685801,Hunter Bigge,4.2,8,3,0.0,1.07
656234,Jake Bird,4.0,8,2,0.0,0.75
687134,Bradley Blalock,1.2,2,0,0.0,0.6
656240,Scott Blewett,2.0,1,1,0.0,0.5
805123,AJ Blubaugh,5.0,5,2,0.0,0.6
621366,Ryan Borucki,1.0,2,0,0.0,1.0
689337,Kaleb Bowman,0.2,1,3,0.0,6.0
621199,Matt Bowman,4.1,5,0,0.0,1.15
680694,Kyle Bradish,5.1,3,3,0.0,1.31
701213,Jonathan Brand,0.1,0,0,0.0,3.0
666374,Matt Brash,2.2,2,2,0.0,1.13
518489,Ryan Brasier,2.0,0,0,0.0,0.0
804546,Hoss Brewer,0.2,0,1,0.0,1.5
689225,Beau Brieske,1.0,0,1,0.0,1.0
695871,Jesús Broca,0.1,0,0,0.0,0.0
664141,JT Brubaker,5.0,7,5,0.0,1.0
677865,Justin Bruihl,3.0,2,2,0.0,1.33
694350,Zach Brzykcy,2.0,3,0,0.0,1.0
663460,Kris Bubic,4.0,4,3,0.0,1.0
607481,Aaron Bummer,3.1,4,1,0.0,0.6
663366,Beau Burrows,1.0,0,0,0.0,2.0
672629,Gerardo Carrillo,1.0,2,0,0.0,0.0
687102,Ross Carver,1.0,0,1,0.0,2.0
822067,A.J. Causey,2.0,0,3,0.0,1.5
676917,Cade Cavalli,5.0,1,0,0.0,0.6
656302,Dylan Cease,5.0,6,2,0.0,1.0
677944,Slade Cecconi,4.0,2,2,0.0,0.75
682999,Will Childers,0.2,2,0,0.0,0.0
702847,Amilcar Chirinos,0.2,0,0,0.0,0.0
699530,Cade Citelli,0.1,0,0,0.0,0.0
664076,Garrett Cleavinger,2.2,3,3,0.0,1.5
806046,Alex Clemmey,3.0,2,1,0.0,0.33
694660,Harrison Cohen,1.1,2,0,0.0,0.0
679693,Carson Coleman,1.0,2,1,0.0,1.0
694495,Javen Coleman,2.0,1,2,0.0,1.0
663782,Joe Corbett,1.2,3,0,0.0,0.0
692030,Jose Corniell,1.0,0,1,0.0,1.0
543056,Danny Coulombe,1.2,4,1,0.0,2.4
675450,Hunter Cranton,0.2,1,0,0.0,0.0
801128,Robert Cranz,0.1,0,0,0.0,3.0
814837,Jacob Cravey,1.0,1,1,0.0,1.0
518585,Fernando Cruz,1.1,3,0,0.0,0.75
674444,Steven Cruz,1.1,2,2,0.0,3.0
691602,Stiven Cruz,2.2,2,2,0.0,1.13
672442,Yovanny Cruz,4.0,6,1,0.0,0.75
807744,Ty Cummings,2.0,0,2,0.0,2.5
595928,John Curtiss,2.1,4,1,0.0,0.43
681924,R.J. Dabovich,1.1,0,1,0.0,1.5
686643,Andrew Dalquist,0.1,0,0,0.0,0.0
690382,Michael Darrell-Hicks,1.0,1,0,0.0,1.0
689546,Nick Davila,1.1,1,0,0.0,0.0
701764,Cam Day,1.0,1,0,0.0,1.0
646241,Enmanuel De Jesus,2.2,3,0,0.0,0.38
660853,Enyel De Los Santos,1.0,1,1,0.0,1.0
672282,Reid Detmers,3.0,3,3,0.0,1.67
622554,Seranthony Domínguez,1.0,3,2,0.0,3.0
666808,Camilo Doval,1.0,1,1,0.0,2.0
807718,Jay Driver,1.2,0,0,0.0,0.0
650960,Daniel Duarte,1.0,1,0,0.0,0.0
681869,Shawn Dubin,2.0,0,1,0.0,0.5
661395,Jhoan Duran,4.0,3,1,0.0,0.5
694492,Hayden Durke,0.1,0,0,0.0,0.0
700270,Yilber Díaz,1.2,3,0,0.0,1.8
813349,Connelly Early,5.0,7,2,0.0,0.6
820825,Konner Eaton,3.0,5,1,0.0,1.33
689433,Derrick Edington,1.0,1,0,0.0,2.0
811667,Clay Edmondson,0.1,0,1,0.0,6.0
605218,Carl Edwards Jr.,4.0,4,1,0.0,0.25
806652,Jacob Edwards,1.0,0,0,0.0,1.0
621107,Zach Eflin,5.1,7,0,0.0,0.19
669434,Stevie Emanuels,0.2,1,0,0.0,0.0
669438,Mason Englert,2.0,0,0,0.0,1.0
669416,Blayne Enlow,1.0,1,2,0.0,2.0
664744,Jose Espada,1.0,0,1,0.0,1.0
692838,Jaydenn Estanista,0.2,0,0,0.0,1.5
669093,Jeremiah Estrada,4.2,9,1,0.0,0.43
698962,Ricardo Estrada,0.2,0,0,0.0,0.0
608032,Carlos Estévez,3.0,3,4,0.0,1.67
664126,Pete Fairbanks,3.0,3,1,0.0,0.33
663559,Bailey Falter,3.0,5,0,0.0,0.0
815083,Mitch Farris,1.0,1,0,0.0,0.0
676534,Calvin Faucher,3.0,3,0,0.0,0.33
642759,Julian Fernández,2.0,3,0,0.0,0.5
802953,Colin Fields,0.1,1,1,0.0,3.0
640448,Kyle Finnegan,1.1,3,0,0.0,0.0
680755,Braydon Fisher,2.1,3,0,0.0,0.0
702153,Brian Fitzpatrick,1.2,3,0,0.0,0.6
695946,Junior Flores,0.1,0,0,0.0,0.0
689254,Mason Fluharty,2.0,3,0,0.0,0.0
702103,Zach Franklin,0.1,1,0,0.0,0.0
607536,Kyle Freeland,7.0,6,1,0.0,0.86
811319,Riley Frey,1.0,2,0,0.0,1.0
681892,Kody Funderburk,3.0,3,1,0.0,1.33
657424,Matt Gage,1.1,2,0,0.0,0.0
693483,Pat Gallagher,0.1,0,0,0.0,6.0
814541,Isaac Gallegos,1.0,1,0,0.0,1.0
670329,Rico Garcia,2.2,3,0,0.0,0.0
670062,Julian Garcia,0.1,1,0,0.0,0.0
472610,Luis García,2.0,1,1,0.0,1.0
687195,Jake Garland,0.1,0,0,0.0,0.0
688107,Robert Gasser,6.0,7,1,0.0,1.0
703725,Luis Gastelum,2.0,4,1,0.0,0.5
688753,Evan Gates,1.0,1,0,0.0,0.0
680702,Joey Gerber,1.0,0,0,0.0,0.0
801434,Paul Gervase,1.1,2,0,0.0,0.0
801517,Spencer Giesting,2.2,4,0,0.0,0.38
805684,Cristofer Gomez,1.0,1,0,0.0,0.0
669022,MacKenzie Gore,8.1,6,3,0.0,0.96
803035,Riley Gowens,2.0,2,0,0.0,0.5
700669,Gordon Graceffo,1.0,0,0,0.0,0.0
701552,Andre Granillo,4.2,1,0,0.0,0.43
671726,Marquis Grissom Jr.,1.0,0,0,0.0,1.0
824200,Jakob Guardado,1.0,1,0,0.0,1.0
674944,Sean Guenther,2.2,5,2,0.0,2.25
594027,Tayron Guerrero,2.1,0,0,0.0,0.86
628709,Ofreidy Gómez,0.2,1,0,0.0,0.0
534910,Jesse Hahn,1.2,0,1,0.0,1.8
813766,Skylar Hales,1.0,1,0,0.0,0.0
669084,DL Hall,5.0,5,0,0.0,1.0
641656,Ian Hamilton,1.0,1,0,0.0,1.0
669285,Dan Hammer,1.1,2,1,0.0,0.75
823226,Zach Harris,0.1,0,1,0.0,6.0
640451,Hunter Harvey,3.0,4,0,0.0,1.0
678184,Garrett Hawkins,0.2,1,3,0.0,4.5
687396,Brent Headrick,2.1,3,1,0.0,1.71
669436,Jacob Heatherly,0.1,0,0,0.0,0.0
691196,Josh Hejka,0.1,0,0,0.0,0.0
664854,Ryan Helsley,2.0,5,2,0.0,1.0
701656,Logan Henderson,2.0,3,0,0.0,0.5
683618,Edgardo Henriquez,3.0,3,0,0.0,0.33
815179,Christian Herberholz,1.0,1,0,0.0,0.0
682120,Tim Herrin,4.2,6,2,0.0,0.86
663855,Jordan Hicks,4.0,5,1,0.0,1.0
830242,Michael Hilker,0.2,0,1,0.0,3.0
677955,Jaden Hill,3.0,4,1,0.0,1.67
823748,Garrett Hodges,0.2,1,1,0.0,4.5
656546,Jeff Hoffman,1.0,0,0,0.0,0.0
676510,Nolan Hoffman,1.0,0,0,0.0,0.0
668970,Gavin Hollowell,2.0,2,0,0.0,0.5
700183,Blake Holub,2.1,4,0,0.0,0.0
681896,Anthony Hoopii-Tuionetoa,0.1,1,0,0.0,0.0
703440,Dylan Howard,2.0,2,1,0.0,1.5
678973,Eiker Huizi,0.1,1,1,0.0,6.0
802373,Jonah Hurney,0.2,1,2,0.0,3.0
669165,Kyle Hurt,1.1,0,1,0.0,0.75
676428,Brant Hurter,3.0,2,0,0.0,0.33
683568,Jairo Iriarte,0.1,1,1,0.0,3.0
663623,Jake Irvin,5.0,5,1,0.0,0.8
445276,Kenley Jansen,2.0,2,1,0.0,1.0
686826,Bryce Jarvis,2.0,3,0,0.0,0.0
643377,Griffin Jax,0.2,0,0,0.0,0.0
689297,Brody Jessee,0.1,1,2,0.0,6.0
829524,Chase Jessee,0.2,0,0,0.0,1.5
699489,Brandon Johnson,0.1,1,0,0.0,0.0
688730,Marques Johnson,0.2,1,0,0.0,1.5
694773,Reid Johnston,0.1,1,0,0.0,0.0
694559,Nick Jones,0.2,2,1,0.0,1.5
682240,Stephen Jones,2.0,1,1,0.0,1.0
695611,Gage Jump,3.0,3,0,0.0,1.33
596001,Jakob Junis,2.1,5,1,0.0,0.43
675916,James Karinchak,0.2,0,2,0.0,3.0
803143,Seth Keener,1.0,0,1,0.0,1.0
805958,Jackson Kelley,1.0,0,1,0.0,2.0
681520,Antoine Kelly,3.0,5,3,0.0,1.67
547184,Michael Kelly,3.1,3,2,0.0,1.5
668873,Caleb Kilian,3.0,5,1,0.0,0.33
687911,Bryan King,2.1,2,1,0.0,0.43
667463,John King,3.0,2,2,0.0,1.33
700675,Jimmy Kingsbury,2.2,3,0,0.0,0.38
641755,Tyler Kinley,2.0,2,0,0.0,0.5
656620,Gabe Klobosits,1.0,1,1,0.0,1.0
695771,Jacob Kmatz,0.1,0,0,0.0,3.0
657649,Jared Koenig,3.1,5,2,0.0,1.5
691947,Ronan Kopp,2.0,1,0,0.0,1.0
663804,Jackson Kowar,3.0,3,2,0.0,1.33
621139,Brooks Kriske,2.1,1,2,0.0,1.71
800811,Jacob Kroeger,0.1,0,0,0.0,0.0
669270,Joel Kuhnel,5.0,1,1,0.0,1.4
679489,Tyler LaPorte,0.1,0,0,0.0,0.0
831093,Matt Lanzendorfer,0.1,1,2,0.0,6.0
665878,Janser Lara,1.0,0,2,0.0,2.0
669445,Adam Laskey,4.0,3,1,0.0,0.75
673929,Jordan Leasure,4.0,4,2,0.0,0.75
695445,Chase Lee,1.2,0,0,0.0,0.6
669276,Dylan Lee,1.1,2,0,0.0,0.75
687033,Zack Lee,1.0,0,1,0.0,2.0
605335,Brandon Leibrandt,2.0,1,0,0.0,0.5
684949,Zac Leigh,1.0,1,1,0.0,1.0
683004,Jack Leiter,4.0,6,0,0.0,0.5
669461,Matthew Liberatore,5.0,5,1,0.0,0.4
663893,Brendon Little,2.0,4,1,0.0,1.5
669193,Jack Little,2.1,3,1,0.0,0.86
681463,Daniel Lloyd,0.1,1,0,0.0,0.0
700380,Joshua Loeschorn,0.2,1,1,0.0,3.0
695418,Brad Lord,6.0,6,2,0.0,0.83
805774,Gregori Louis,0.2,0,0,0.0,1.5
676153,Austin Love,1.1,0,0,0.0,0.75
663992,Richard Lovelady,1.0,1,0,0.0,1.0
701828,Wyatt Lunsford-Shenkman,1.0,1,0,0.0,0.0
641816,Tyler Mahle,4.0,6,0,0.0,0.25
640455,Sean Manaea,4.0,4,0,0.0,0.0
676760,Ron Marinaccio,1.1,2,0,0.0,0.75
814508,Colby Martin,0.1,1,0,0.0,0.0
801555,Izaak Martinez,1.0,1,1,0.0,2.0
815292,Luis Martinez-Gomez,1.1,1,0,0.0,0.75
805673,Zebby Matthews,5.0,1,0,0.0,0.8
676755,Isaac Mattson,3.0,4,1,0.0,0.67
571927,Steven Matz,5.0,4,1,0.0,1.0
685112,Zach McCambley,1.1,0,1,0.0,1.5
670766,Darren McCaughan,1.0,1,0,0.0,0.0
663556,Shane McClanahan,8.2,11,4,0.0,0.81
695294,Tommy McCollum,1.0,0,0,0.0,1.0
702578,Kyle McCoy,1.0,2,0,0.0,1.0
690229,LJ McDonough,1.0,2,1,0.0,2.0
695661,Logan McGuire,0.1,0,0,0.0,3.0
694381,Trey McLoughlin,0.2,0,0,0.0,0.0
701568,Justin Meis,1.0,1,1,0.0,1.0
675848,Juan Mejia,1.0,1,0,0.0,0.0
811229,Ubert Mejias,0.1,0,0,0.0,0.0
800078,Augusto Mendieta,0.1,1,1,0.0,3.0
694781,Logan Mercado,1.1,2,1,0.0,0.75
701951,Abel Mercedes,1.0,3,1,0.0,1.0
682825,Luis Mey,4.0,3,2,0.0,1.5
641871,Keynan Middleton,3.0,2,0,0.0,0.33
669062,Erik Miller,3.0,4,0,0.0,0.67
668338,Tyson Miller,1.0,1,2,0.0,3.0
677312,Zane Mills,3.0,1,0,0.0,0.33
571948,Hoby Milner,2.0,2,0,0.0,1.0
695229,Camden Minacci,0.2,1,0,0.0,0.0
664948,Anthony Misiewicz,1.0,1,1,0.0,1.0
808052,Johan Moreno,0.2,0,0,0.0,0.0
669212,Eli Morgan,3.2,4,2,0.0,0.55
801219,Alfred Morillo,0.1,0,0,0.0,0.0
701808,Cody Morse,1.0,2,0,0.0,0.0
669684,Chris Murphy,3.0,0,1,0.0,0.33
677053,Andrew Nardi,4.1,6,3,0.0,0.92
805783,Mason Nichols,1.0,0,0,0.0,0.0
686951,Cy Nielson,0.1,0,0,0.0,0.0
676617,Riley O'Brien,3.0,5,0,0.0,1.0
676012,Gerald Ogando,0.2,0,0,0.0,0.0
681544,Wyatt Olds,1.0,1,1,0.0,1.0
811598,Kleiber Olmedo,1.0,2,0,0.0,0.0
683098,Bryce Osmond,1.0,3,0,0.0,1.0
694037,Daniel Palencia,1.0,1,0,0.0,0.0
669449,Jake Palisch,2.0,1,1,0.0,0.5
688883,Peyton Pallette,3.0,4,1,0.0,0.33
688609,Hunter Parks,1.0,0,0,0.0,0.0
606303,Joel Payamps,4.2,6,0,0.0,0.21
686745,Zach Peek,1.2,2,0,0.0,0.0
668761,Colin Peluse,0.2,0,0,0.0,0.0
593974,Wandy Peralta,2.0,3,2,0.0,1.0
622780,Angel Perdomo,0.1,0,3,0.0,9.0
678022,Jack Perkins,3.2,3,2,0.0,1.36
656848,Michael Petersen,3.0,3,2,0.0,1.0
803292,Ben Peterson,0.2,1,0,0.0,0.0
800423,Jorger Petri,0.1,1,1,0.0,3.0
806272,Zane Petty,0.1,0,0,0.0,0.0
694297,Brandon Pfaadt,5.0,6,0,0.0,0.0
702129,Alex Pham,1.0,1,1,0.0,1.0
676502,Roman Phansalkar,0.2,0,0,0.0,1.5
683175,Connor Phillips,5.0,7,0,0.0,0.4
663969,Tyler Phillips,2.0,3,1,0.0,1.0
822472,Domenic Picone,0.1,1,0,0.0,3.0
663455,Konnor Pilkington,2.0,4,0,0.0,1.0
674681,Michael Plassmeyer,0.1,0,0,0.0,0.0
664074,Cody Ponce,7.2,7,4,0.0,0.91
647315,Zach Pop,4.0,4,0,0.0,0.5
687166,Austin Pope,1.0,1,2,0.0,2.0
805379,Robby Porco,1.0,1,1,0.0,2.0
676571,PJ Poulin,3.0,5,0,0.0,0.0
690155,Matt Pushard,4.0,3,0,0.0,1.0
672335,Cionel Pérez,4.0,6,0,0.0,0.5
527048,Martín Pérez,3.2,1,1,0.0,1.91
615698,Cal Quantrill,1.0,2,0,0.0,0.0
808839,Stephen Quigley,2.0,2,1,0.0,0.5
687879,Luis Quiñones,1.1,1,0,0.0,0.0
806288,Stefan Raeth,0.2,0,1,0.0,1.5
663432,Tanner Rainey,2.0,2,1,0.0,1.5
691008,Max Rajcic,1.0,0,0,0.0,0.0
548384,Brooks Raley,1.1,1,0,0.0,1.5
667652,Jack Ralston,2.0,3,2,0.0,2.0
680724,Tyler Ras,0.2,0,0,0.0,0.0
688497,Taylor Rashi,1.0,2,0,0.0,1.0
692229,Carlos Rey,0.1,0,0,0.0,0.0
702418,Juan Reynoso,0.2,2,0,0.0,0.0
687377,Orlando Ribalta,3.1,3,1,0.0,0.9
670950,Trevor Richards,3.0,6,0,0.0,0.33
680689,Lyon Richardson,1.2,1,0,0.0,0.6
702275,JR Ritchie,4.0,6,0,0.0,0.0
700842,Eduardo Rivera,1.0,0,0,0.0,1.0
700072,Yaqui Rivera,1.0,1,0,0.0,1.0
685005,Christian Roa,3.2,5,0,0.0,0.0
686762,Austin Roberts,0.1,1,0,0.0,0.0
687798,Nick Robertson,0.2,2,0,0.0,0.0
660781,Domingo Robles,0.1,0,0,0.0,3.0
680570,Grayson Rodriguez,4.2,5,4,0.0,1.29
684320,Yariel Rodríguez,1.1,3,1,0.0,2.25
669020,Ryan Rolison,1.0,1,0,0.0,2.0
680723,Drew Rom,1.0,1,1,0.0,1.0
668941,JoJo Romero,3.0,4,0,0.0,0.67
702036,Tony Rossi,0.1,1,0,0.0,0.0
694820,Braxton Roxby,0.1,0,0,0.0,0.0
702065,Aaron Rozek,1.0,3,0,0.0,1.0
674022,Jason Ruffcorn,1.1,2,0,0.0,0.0
801546,Zane Russell,0.1,0,0,0.0,0.0
681870,Erik Sabrowski,3.2,4,1,0.0,1.09
800317,Braian Salazar,1.2,1,2,0.0,1.8
701719,Tyler Samaniego,4.1,5,2,0.0,0.69
678738,Juan Sanchez,1.0,1,0,0.0,0.0
804522,Wilmy Sanchez,2.0,3,0,0.0,0.0
663485,Cole Sands,2.2,2,0,0.0,0.38
642048,Tayler Saucedo,2.0,3,0,0.0,0.0
691014,Nate Savino,0.1,0,0,0.0,0.0
681212,Shay Schanaman,1.0,1,1,0.0,2.0
453286,Max Scherzer,9.2,8,4,0.0,0.83
693645,Cam Schlittler,3.2,1,1,0.0,0.82
676881,Garrett Schoenle,0.2,0,1,0.0,3.0
670167,John Schreiber,3.2,4,2,0.0,1.36
807575,Cam Schuelke,2.0,3,0,0.0,0.5
701565,Connor Schultz,1.0,0,0,0.0,1.0
805326,Tyler Schweitzer,1.0,1,1,0.0,1.0
700786,Ben Sears,0.2,1,0,0.0,0.0
676910,Matt Seelinger,0.1,0,0,0.0,0.0
684128,Reidis Sena,1.0,1,0,0.0,1.0
673540,Kodai Senga,7.0,9,1,0.0,0.57
622608,Antonio Senzatela,2.0,1,0,0.0,0.0
623149,Paul Sewald,5.0,2,1,0.0,0.8
693313,Carson Seymour,3.0,2,2,0.0,0.67
827620,Jake Shirk,1.1,1,0,0.0,0.75
669298,TJ Shook,1.2,1,0,0.0,0.6
675783,Easton Sikorski,0.1,0,0,0.0,0.0
681217,Chase Silseth,5.0,4,2,0.0,0.6
687535,Dylan Simmons,1.0,0,0,0.0,0.0
815084,Ben Simon,1.0,2,1,0.0,2.0
608371,Lucas Sims,3.0,3,2,0.0,1.0
695378,Jack Sinclair,1.0,3,0,0.0,0.0
694973,Paul Skenes,4.0,5,3,0.0,1.0
686580,Justin Slaten,3.0,2,2,0.0,1.0
622098,Drew Smith,3.1,5,1,0.0,0.9
572143,Burch Smith,2.2,3,1,0.0,1.13
696146,Hagen Smith,2.0,5,1,0.0,0.5
814388,Hayden Snelsire,1.0,1,1,0.0,2.0
666277,George Soriano,3.0,4,0,0.0,0.67
667755,José Soriano,3.0,3,3,0.0,1.33
687168,Brayden Spears,0.2,1,0,0.0,1.5
605488,Jeffrey Springs,7.2,8,3,0.0,0.78
668831,Garrett Stallings,1.0,1,0,0.0,3.0
689359,Dale Stanavich,0.1,0,0,0.0,0.0
701533,Hunter Stanley,0.1,0,0,0.0,0.0
663986,Trevor Stephan,0.2,1,1,0.0,3.0
686993,Justin Sterner,1.2,2,0,0.0,0.0
694436,Samuel Strickland,1.2,1,0,0.0,1.2
682949,Christian Suarez,1.0,0,0,0.0,0.0
680933,Joander Suarez,4.0,3,1,0.0,0.5
593833,Wander Suero,2.0,3,1,0.0,0.5
694335,Matt Svanson,3.0,2,1,0.0,0.33
689450,Luke Taggart,0.1,1,0,0.0,0.0
692176,Noah Takacs,0.1,0,0,0.0,0.0
681117,Evan Taylor,1.1,1,1,0.0,1.5
573204,Caleb Thielbar,2.0,0,0,0.0,0.5
624522,Keegan Thompson,2.0,0,0,0.0,0.0
666168,Mason Thompson,1.2,2,0,0.0,0.0
801139,Payton Tolle,4.0,5,0,0.0,0.75
680899,Erik Tolman,1.2,4,1,0.0,0.6
814280,Landon Tomkins,0.1,0,0,0.0,0.0
678013,Lenny Torres Jr.,0.1,0,0,0.0,3.0
671969,Adam Tulloch,0.1,0,0,0.0,0.0
801842,Fidel Ulloa,1.0,0,0,0.0,1.0
682842,Abner Uribe,2.0,1,0,0.0,0.5
676568,Ricky Vanasco,3.0,3,1,0.0,0.33
672841,Carlos Vargas,4.1,3,1,0.0,0.46
678024,Mike Vasil,3.2,3,2,0.0,1.09
679029,Samuel Vasquez,1.1,2,1,0.0,0.75
694978,Ben Vespi,1.2,2,1,0.0,1.8
695402,Najer Victor,2.1,3,2,0.0,1.29
686610,Ken Waldichuk,3.0,0,2,0.0,2.0
676254,Ryan Walker,3.0,2,0,0.0,0.0
592836,Taijuan Walker,5.0,3,2,0.0,1.0
681810,Austin Warren,1.0,3,0,0.0,1.0
702130,Danny Watson,1.0,1,0,0.0,1.0
828594,Michael Watson,0.2,1,1,0.0,1.5
814492,Will Watson,3.1,2,0,0.0,0.6
694360,Beck Way,1.2,1,0,0.0,0.6
669711,Greg Weissert,1.0,1,0,0.0,1.0
681315,Logan Whitaker,0.2,1,0,0.0,1.5
676477,Garrett Whitlock,1.0,1,0,0.0,0.0
642207,Devin Williams,2.0,3,1,0.0,1.5
686294,Amos Willingham,0.2,1,1,0.0,3.0
669060,Bryse Wilson,3.0,1,2,0.0,0.67
664991,Grant Wolfram,2.0,3,0,0.0,0.5
663765,Jake Woodford,2.0,1,1,0.0,1.0
808967,Yoshinobu Yamamoto,5.0,7,1,0.0,0.8
489446,Kirby Yates,1.0,1,0,0.0,0.0
687866,Justin Yeager,1.2,2,0,0.0,0.6
