player_id,player_name,inningsPitched,strikeOuts,baseOnBalls,era,whip
686588,Blane Abeyta,0.1,0,0,0.0,0.0
592094,Jason Adam,1.0,1,0,0.0,0.0
822416,Cooper Adams,1.0,0,0,0.0,0.0
641302,Tyler Alexander,1.0,0,1,0.0,1.0
663465,Kolby Allard,1.0,1,0,0.0,0.0
623454,Drew Anderson,0.2,0,1,0.0,1.5
814783,Casey Anderson,1.0,1,1,0.0,2.0
681982,Grant Anderson,1.0,0,1,0.0,1.0
681252,Jack Anderson,1.0,0,0,0.0,2.0
542888,Shawn Armstrong,0.2,0,0,0.0,0.0
676879,Aaron Ashby,1.2,3,3,0.0,1.8
641329,Bryan Baker,1.0,1,0,0.0,1.0
694536,Trent Baker,2.0,0,0,0.0,0.5
607455,Anthony Banda,1.0,1,2,0.0,2.0
621383,Tanner Banks,1.0,1,0,0.0,0.0
682995,Hunter Barco,2.1,3,2,0.0,1.29
685290,Diego Barrera,1.0,1,0,0.0,0.0
605135,Chris Bassitt,2.0,1,0,0.0,0.0
691945,Carter Baumler,1.0,1,0,0.0,0.0
669358,Shane Baz,5.0,5,0,0.0,0.6
660825,Eduard Bazardo,1.0,0,0,0.0,1.0
695063,Noah Beal,1.1,2,1,0.0,0.75
670280,David Bednar,0.2,0,0,0.0,0.0
690925,Clayton Beeter,2.0,3,1,0.0,1.0
674370,Osvaldo Bido,1.0,1,1,0.0,1.0
685801,Hunter Bigge,1.1,3,2,0.0,2.25
656234,Jake Bird,1.0,2,0,0.0,0.0
805123,AJ Blubaugh,2.0,1,1,0.0,0.5
592155,Cam Booser,2.0,3,0,0.0,0.5
621199,Matt Bowman,2.0,1,0,0.0,0.5
680694,Kyle Bradish,5.1,3,3,0.0,1.31
666374,Matt Brash,1.0,0,1,0.0,1.0
605154,John Brebbia,1.0,1,0,0.0,0.0
676962,Ben Brown,2.0,2,2,0.0,2.0
694350,Zach Brzykcy,1.0,2,0,0.0,1.0
607481,Aaron Bummer,1.0,0,0,0.0,1.0
702318,Chris Campos,2.0,1,2,0.0,2.5
666974,Yennier Cano,1.0,1,0,0.0,0.0
676282,Joey Cantillo,4.0,6,0,0.0,0.25
672629,Gerardo Carrillo,1.0,2,0,0.0,0.0
687102,Ross Carver,1.0,0,1,0.0,2.0
665645,Kervin Castro,1.0,2,0,0.0,0.0
701195,Manuel Castro,0.1,0,0,0.0,0.0
676917,Cade Cavalli,5.0,1,0,0.0,0.6
656302,Dylan Cease,5.0,6,2,0.0,1.0
677944,Slade Cecconi,4.0,2,2,0.0,0.75
683409,Angel Chivilli,0.1,1,0,0.0,0.0
664199,Taylor Clarke,1.0,1,0,0.0,1.0
664076,Garrett Cleavinger,1.2,2,3,0.0,2.4
694660,Harrison Cohen,0.1,1,0,0.0,0.0
543056,Danny Coulombe,1.0,2,0,0.0,2.0
675450,Hunter Cranton,0.2,1,0,0.0,0.0
814837,Jacob Cravey,1.0,1,1,0.0,1.0
681867,Cooper Criswell,1.0,1,0,0.0,3.0
518585,Fernando Cruz,0.1,1,0,0.0,0.0
691602,Stiven Cruz,1.2,2,0,0.0,0.6
672442,Yovanny Cruz,2.0,2,1,0.0,1.5
807744,Ty Cummings,2.0,0,2,0.0,2.5
595928,John Curtiss,2.0,4,1,0.0,0.5
681168,Luis Curvelo,0.2,1,1,0.0,1.5
646241,Enmanuel De Jesus,0.2,0,0,0.0,0.0
672282,Reid Detmers,3.0,3,3,0.0,1.67
622554,Seranthony Domínguez,1.0,3,2,0.0,3.0
666808,Camilo Doval,1.0,1,1,0.0,2.0
676263,Jack Dreyer,1.0,2,0,0.0,0.0
650960,Daniel Duarte,1.0,1,0,0.0,0.0
681869,Shawn Dubin,2.0,0,1,0.0,0.5
661395,Jhoan Duran,1.0,1,1,0.0,1.0
694492,Hayden Durke,0.1,0,0,0.0,0.0
621242,Edwin Díaz,1.0,2,1,0.0,1.0
700270,Yilber Díaz,1.2,3,0,0.0,1.8
689433,Derrick Edington,1.0,1,0,0.0,2.0
669434,Stevie Emanuels,0.1,1,0,0.0,0.0
608650,Dietrich Enns,1.0,2,0,0.0,0.0
668674,Lucas Erceg,1.0,0,0,0.0,2.0
692838,Jaydenn Estanista,0.2,0,0,0.0,1.5
608032,Carlos Estévez,1.0,3,1,0.0,1.0
815083,Mitch Farris,1.0,1,0,0.0,0.0
670036,Matt Festa,1.1,1,0,0.0,0.75
640448,Kyle Finnegan,0.1,1,0,0.0,0.0
680755,Braydon Fisher,1.0,1,0,0.0,0.0
702153,Brian Fitzpatrick,0.2,0,0,0.0,1.5
676596,Josh Fleming,0.1,1,0,0.0,0.0
695946,Junior Flores,0.1,0,0,0.0,0.0
689254,Mason Fluharty,1.0,2,0,0.0,0.0
607536,Kyle Freeland,4.0,2,1,0.0,1.25
811319,Riley Frey,0.1,0,0,0.0,0.0
681892,Kody Funderburk,2.0,2,0,0.0,1.0
805299,Brandyn Garcia,1.0,2,0,0.0,0.0
670329,Rico Garcia,0.2,1,0,0.0,0.0
688107,Robert Gasser,6.0,7,1,0.0,1.0
703725,Luis Gastelum,1.0,3,0,0.0,0.0
688753,Evan Gates,1.0,1,0,0.0,0.0
801517,Spencer Giesting,2.2,4,0,0.0,0.38
656464,Kevin Ginkel,1.0,1,0,0.0,1.0
686857,James Gonzalez,1.1,2,1,0.0,0.75
669022,MacKenzie Gore,4.0,3,0,0.0,0.75
