player_id,player_name,plateAppearances,hits,homeRuns,rbi,baseOnBalls,strikeOuts,avg,obp,slg,ops
668901,Mark Vientos,1,1,0,0,0,0,1.0,1.0,1.0,2.0
686894,Joey Wiemer,8,6,2,4,2,0,1.0,1.0,2.333,3.333
691594,Javier Sanoja,7,5,0,1,0,1,0.714,0.714,0.857,1.571
701398,Sal Stewart,13,7,1,2,3,0,0.7,0.769,1.3,2.069
645302,Victor Robles,3,2,0,1,0,0,0.667,0.667,1.0,1.667
592885,Christian Yelich,11,6,1,5,1,2,0.6,0.636,0.9,1.536
650490,Yandy Díaz,17,9,0,5,1,1,0.563,0.588,0.625,1.213
810938,Ben Williamson,9,5,0,1,0,0,0.556,0.556,0.556,1.112
665926,Andrés Giménez,12,6,0,4,1,1,0.545,0.583,0.727,1.31
677942,Blaze Alexander,4,2,0,1,0,1,0.5,0.5,0.5,1.0
665804,Miguel Amaya,4,2,1,2,0,1,0.5,0.5,1.25,1.75
683357,Owen Caissie,10,5,1,4,0,2,0.5,0.5,1.0,1.5
691277,Deyvison De Los Santos,2,1,0,0,0,0,0.5,0.5,1.0,1.5
663743,Nick Fortes,9,4,0,2,1,0,0.5,0.556,0.5,1.056
690976,Alex Freeland,4,2,1,1,0,0,0.5,0.5,1.5,2.0
656484,Tristan Gray,4,2,0,3,0,1,0.5,0.5,0.75,1.25
623168,Tyler Heineman,3,1,0,0,1,0,0.5,0.667,0.5,1.167
656555,Rhys Hoskins,8,3,0,0,2,2,0.5,0.625,0.667,1.292
669127,Shea Langeliers,13,6,3,6,1,4,0.5,0.538,1.25,1.788
655316,Andruw Monasterio,2,1,0,0,0,0,0.5,0.5,1.0,1.5
665966,Carlos Narváez,7,3,0,0,0,1,0.5,0.5,0.5,1.0
500743,Miguel Rojas,6,3,0,0,0,1,0.5,0.5,0.5,1.0
687363,Victor Scott II,12,5,0,0,0,3,0.5,0.5,0.5,1.0
519317,Giancarlo Stanton,12,6,1,2,0,3,0.5,0.5,0.75,1.25
664702,Myles Straw,2,1,0,0,0,0,0.5,0.5,0.5,1.0
596142,Gary Sánchez,4,2,1,2,0,2,0.5,0.5,1.25,1.75
620443,Luis Torrens,4,2,0,1,0,1,0.5,0.5,0.5,1.0
543877,Christian Vázquez,4,1,0,2,1,0,0.5,0.667,0.5,1.167
657136,Connor Wong,4,2,0,0,0,1,0.5,0.5,0.75,1.25
573262,Mike Yastrzemski,8,4,0,1,0,1,0.5,0.5,0.625,1.125
677800,Wilyer Abreu,13,6,2,4,0,1,0.462,0.462,1.077,1.539
666018,Jonathan Aranda,17,6,1,4,3,3,0.462,0.529,0.769,1.298
669394,Jake Burger,13,6,2,4,0,7,0.462,0.462,0.923,1.385
545361,Mike Trout,20,6,2,3,7,3,0.462,0.65,0.923,1.573
687401,Joey Ortiz,12,5,0,3,1,4,0.455,0.5,0.455,0.955
673357,Luis Robert Jr.,14,5,1,5,3,2,0.455,0.571,0.727,1.298
802415,Chandler Simpson,12,5,0,1,1,1,0.455,0.5,0.455,0.955
676356,Jonny DeLuca,9,4,0,3,0,0,0.444,0.444,0.556,1.0
690993,Colt Keith,11,4,0,0,2,2,0.444,0.545,0.556,1.101
457705,Andrew McCutchen,9,4,1,4,0,2,0.444,0.444,1.0,1.444
680977,Brendan Donovan,18,6,2,4,2,4,0.429,0.556,0.929,1.485
669236,Jeremiah Jackson,7,3,0,1,0,3,0.429,0.429,0.429,0.858
656811,Ryan O'Hearn,15,6,1,3,1,3,0.429,0.467,0.643,1.11
668939,Adley Rutschman,9,3,0,1,2,1,0.429,0.556,0.714,1.27
668930,Brice Turang,15,6,0,1,1,3,0.429,0.467,0.643,1.11
657656,Ramón Laureano,12,5,1,2,0,2,0.417,0.417,0.75,1.167
664040,Brandon Lowe,14,5,3,4,2,1,0.417,0.5,1.25,1.75
805808,Kevin McGonigle,13,5,0,4,1,3,0.417,0.462,0.583,1.045
665489,Vladimir Guerrero Jr.,14,4,0,1,4,0,0.4,0.571,0.4,0.971
543309,Kyle Higashioka,5,2,0,1,0,0,0.4,0.4,0.4,0.8
663616,Trevor Larnach,6,2,0,1,1,1,0.4,0.5,0.6,1.1
680574,Matt McLain,14,4,0,1,4,2,0.4,0.571,0.5,1.071
669003,Garrett Mitchell,9,2,0,3,3,1,0.4,0.625,0.4,1.025
667472,Dane Myers,5,2,0,1,0,0,0.4,0.4,0.4,0.8
660821,Jesús Sánchez,7,2,1,3,1,0,0.4,0.571,1.0,1.571
691023,Jordan Walker,12,4,1,3,2,1,0.4,0.5,0.9,1.4
605170,Victor Caratini,9,3,0,0,1,0,0.375,0.444,0.375,0.819
701675,Nathan Church,8,3,0,2,0,1,0.375,0.375,0.375,0.75
663604,Brandon Lockridge,9,3,0,2,1,2,0.375,0.444,0.375,0.819
686780,Pedro Pagés,8,3,1,2,0,0,0.375,0.375,0.75,1.125
681082,Bryson Stott,9,3,0,1,1,1,0.375,0.444,0.375,0.819
645277,Ozzie Albies,12,4,1,1,1,0,0.364,0.417,0.636,1.053
641355,Cody Bellinger,13,4,0,0,2,2,0.364,0.462,0.545,1.007
676475,Alec Burleson,14,4,1,4,2,0,0.364,0.429,0.636,1.065
669364,Xavier Edwards,12,4,0,0,0,1,0.364,0.364,0.364,0.728
671739,Michael Harris II,11,4,1,3,0,2,0.364,0.364,0.636,1.0
672724,Oswald Peraza,12,4,1,2,1,5,0.364,0.417,0.636,1.053
663586,Austin Riley,12,4,0,0,1,3,0.364,0.417,0.364,0.781
608369,Corey Seager,14,4,1,2,2,4,0.364,0.429,0.636,1.065
677951,Bobby Witt Jr.,12,4,0,1,1,2,0.364,0.417,0.364,0.781
665742,Juan Soto,15,5,0,3,1,3,0.357,0.4,0.429,0.829
800050,Chase DeLauter,17,6,4,5,0,6,0.353,0.353,1.059,1.412
682626,Francisco Alvarez,8,2,1,1,1,1,0.333,0.5,0.833,1.333
678489,Jorge Barrosa,3,1,0,0,0,2,0.333,0.333,0.667,1.0
663698,Joey Bart,3,1,0,0,0,1,0.333,0.333,0.333,0.666
